id,datum,incidence_7,incidence_14,incidence_7_100000,incidence_14_100000
4a85846d-e9e0-4c19-bc82-c4cce824b62c,2020-03-01,3,3,0.028,0.028
92f2bc88-2564-44a4-be82-d56acbf5e597,2020-03-02,3,3,0.028,0.028
3feabb01-b211-4121-8205-7b289b2e0764,2020-03-03,5,5,0.047,0.047
a50e2fcd-bba2-4dc6-abe0-c326b020f6ec,2020-03-04,6,6,0.056,0.056
3a29d8b8-f9b8-488d-988f-4b6a2ad61e09,2020-03-05,9,9,0.084,0.084
12472952-984f-4d64-8bed-dc2cb960a1ea,2020-03-06,20,20,0.187,0.187
5677b0d6-9528-4486-a239-40b1142992eb,2020-03-07,27,27,0.252,0.252
6aa83e5a-ea66-4129-837e-bbdbe20cf0ea,2020-03-08,30,33,0.28,0.308
9ebad755-99d6-462c-82c0-9a45354812e2,2020-03-09,36,39,0.336,0.364
394a90d7-dbbd-4757-8e91-c553f55fa2f4,2020-03-10,59,64,0.551,0.598
396fc193-d0a4-4d64-a8fe-70811207df22,2020-03-11,89,95,0.832,0.888
c087e4ba-041f-4e60-98d4-1452872215c8,2020-03-12,108,117,1.009,1.093
e8e20448-3462-49d9-bf9a-b26b303705cc,2020-03-13,122,142,1.14,1.327
56ff410d-c2fc-4fc8-ae9e-a259e2ac599b,2020-03-14,163,190,1.523,1.775
4354b3a7-8241-42f3-8deb-0b235dad8ffb,2020-03-15,266,296,2.486,2.766
d76a36bb-52dc-4782-9408-8ec2bce99897,2020-03-16,346,382,3.233,3.57
bf19f29b-9ff3-4b30-b534-0f4bab8b35b7,2020-03-17,393,452,3.672,4.224
a503f8d4-ca1e-4fa2-b462-7ab92222c87b,2020-03-18,472,561,4.41,5.242
fc05302c-5ab4-419c-9652-23648ff9d38f,2020-03-19,657,765,6.139,7.148
b13cba43-3ba7-43a0-b8de-4b0fd4177188,2020-03-20,757,879,7.074,8.214
efb32699-df8c-41cf-a243-94686a90fd42,2020-03-21,869,1032,8.12,9.643
fcf064b5-30e5-476d-9db4-e7727faed4de,2020-03-22,875,1141,8.176,10.662
412dc5f4-8a4d-4380-ab12-008dd26b99c9,2020-03-23,916,1262,8.559,11.792
f9c64c43-fc68-4f0c-8276-9c83af9f75be,2020-03-24,1029,1422,9.615,13.288
62ead707-4f77-4151-870d-964f4ba2a6d2,2020-03-25,1213,1685,11.335,15.745
92a4ff03-7f94-473f-a9c4-8c28a903c963,2020-03-26,1266,1923,11.83,17.969
de0fa783-9d94-4f11-9181-0360ad0d517a,2020-03-27,1520,2277,14.203,21.277
ef78d219-ef21-41ab-bedc-33e450d5725f,2020-03-28,1624,2493,15.175,23.295
48430f9b-a6a1-42fe-b2c8-d375035abca1,2020-03-29,1668,2543,15.586,23.762
00545012-0f13-4b86-9d33-017c55e5c7f6,2020-03-30,1725,2641,16.119,24.678
e21ad587-412f-42f4-a199-81d1bbed76c6,2020-03-31,1848,2877,17.268,26.883
f00b4abd-ab02-45e4-8526-777f35a57b82,2020-04-01,1838,3051,17.175,28.509
2531c1ea-7789-4e82-8a02-c841f63fe098,2020-04-02,1846,3112,17.249,29.079
a120bf84-6562-476b-8cc1-edb1d06a0b62,2020-04-03,1801,3321,16.829,31.032
aca02cc5-785b-4105-8b93-d5ab88064843,2020-04-04,1821,3445,17.016,32.191
99f826fd-e3db-4138-b9be-1c074a3ca128,2020-04-05,1780,3448,16.633,32.219
76acc384-91f4-49a2-a05a-a783b1439ac8,2020-04-06,1833,3558,17.128,33.247
918017b1-0c9b-4e83-9a74-7e40c365df4c,2020-04-07,1721,3569,16.081,33.35
353c7ebc-f926-4cd1-8efb-14c908287bbc,2020-04-08,1731,3569,16.175,33.35
c045da27-e56e-469b-84b4-7f4dc0c26f62,2020-04-09,1722,3568,16.091,33.34
8c3e73b5-5114-433e-aea9-d99f79549f1b,2020-04-10,1551,3352,14.493,31.322
0406fd86-2597-4a62-9b8f-14660f588a19,2020-04-11,1438,3259,13.437,30.453
3a5b33ac-3178-4eae-88d7-a45718df8cba,2020-04-12,1409,3189,13.166,29.799
a14ca435-25a5-42b3-8257-0c0b80fbd260,2020-04-13,1240,3073,11.587,28.715
63a517ac-e448-435c-a68b-989f62051b38,2020-04-14,1126,2847,10.522,26.603
2eeecbef-d818-4838-9b76-60246b88400b,2020-04-15,992,2723,9.269,25.444
6db4b79c-9bec-45e0-9038-f4caedb5cd88,2020-04-16,867,2589,8.101,24.192
ec56c666-de22-46be-9199-6501e9d0031d,2020-04-17,820,2371,7.662,22.155
b08db3f3-3018-44a7-b59a-b976d8d01619,2020-04-18,754,2192,7.046,20.483
a59e6e78-bcc3-461b-995a-2bf48f89ec3d,2020-04-19,758,2167,7.083,20.249
555af408-7b03-4ff5-b86d-24f2465bef39,2020-04-20,844,2084,7.887,19.473
221e9140-2ae8-4584-83de-90169e4eef40,2020-04-21,895,2021,8.363,18.885
c4005f8b-1c5b-4178-a9b4-2a3e82b2371c,2020-04-22,834,1826,7.793,17.063
2dbe7e28-6c57-4249-861a-3a15f61895fc,2020-04-23,757,1624,7.074,15.175
16bec9d0-9714-4e7f-a392-e38134b61756,2020-04-24,727,1547,6.793,14.456
cba41758-88ff-403a-92ec-67d440295270,2020-04-25,701,1455,6.55,13.596
fb15edee-9f82-491b-8847-9e09c474fffc,2020-04-26,660,1418,6.167,13.25
a2cd98d1-6995-4df9-a10f-6ec6895c55a1,2020-04-27,547,1391,5.111,12.998
9989f052-46be-423a-b2e1-7ff1456c3055,2020-04-28,474,1369,4.429,12.792
fae8bd34-c98a-4239-b70b-4bdfb0be9f9a,2020-04-29,450,1284,4.205,11.998
2a15ea33-7ca6-49c1-9952-5972b7a1f230,2020-04-30,502,1259,4.691,11.764
c0e0008b-a6e1-44ec-a057-f09689b57a65,2020-05-01,473,1200,4.42,11.213
e3338f77-d441-43fc-aa78-568a05c806d4,2020-05-02,412,1113,3.85,10.4
0d6cbc3f-fe63-4ea8-a96a-d74d9f723d7d,2020-05-03,386,1046,3.607,9.774
7f5525c9-e484-4716-b956-97c32dec2867,2020-05-04,384,931,3.588,8.699
5d754990-70f0-4360-9ac1-d83ca04f2adb,2020-05-05,401,875,3.747,8.176
f6121fcd-d0f3-41df-8409-5466affe0a2c,2020-05-06,405,855,3.784,7.989
69b33fbc-c3cc-425d-a661-c8b0043c2343,2020-05-07,355,857,3.317,8.008
a160358d-c102-4362-a8b6-5b3a57b92eb5,2020-05-08,344,817,3.214,7.634
06ae1f3a-94f4-4198-9c68-f9372eaa11c9,2020-05-09,344,756,3.214,7.064
da9ea566-0b4f-4172-a86a-843c5036ee44,2020-05-10,346,732,3.233,6.84
5cfa6fa9-9165-405f-9050-ef5573090ee2,2020-05-11,365,749,3.411,6.999
b755a805-bd71-4a5e-944e-9aac9b94f553,2020-05-12,334,735,3.121,6.868
4f31cb8d-573b-4c7b-a20c-3fb193e2bac8,2020-05-13,307,712,2.869,6.653
b5d5720f-9ba8-4b43-b90a-00be2c8b68df,2020-05-14,330,685,3.084,6.401
f4a8470c-7da2-4b8f-a52d-77106717ed3f,2020-05-15,339,683,3.168,6.382
f8278871-c0fa-430d-bb1c-040c80504398,2020-05-16,372,716,3.476,6.69
5935de57-7316-4f21-ac1e-95a6d1a5baa6,2020-05-17,364,710,3.401,6.634
83ad4b67-92d1-4b97-9aba-0b5baf0f1f7b,2020-05-18,421,786,3.934,7.345
1a559a1c-4913-4138-a89f-b79dea93a859,2020-05-19,438,772,4.093,7.214
cf094871-e216-4732-8ded-45dd6d701b50,2020-05-20,461,768,4.308,7.176
5765828e-b7ee-446b-a95d-8f886c383cb3,2020-05-21,416,746,3.887,6.971
25828637-e764-421f-92d5-244753c13bf4,2020-05-22,422,761,3.943,7.111
79e45940-536c-4d67-b26f-da0e006557c0,2020-05-23,448,820,4.186,7.662
39de84bf-2a36-43f8-b9c9-368e1a863bcb,2020-05-24,493,857,4.607,8.008
7fd051b9-6011-401c-95f8-ad76c8dc6bb0,2020-05-25,425,846,3.971,7.905
93f76cd6-8f6d-46e2-a322-276fe81adc59,2020-05-26,414,852,3.869,7.961
91c245b9-7caa-4dfe-8a08-7c54a55d77e6,2020-05-27,376,837,3.513,7.821
87c4d5bd-3ff7-478b-a7a9-c35b11775e4e,2020-05-28,393,809,3.672,7.559
593412a7-0fdb-4455-ad6c-95023f8f757e,2020-05-29,389,811,3.635,7.578
008d07ab-ff9b-49f1-b1df-28bf4abfb216,2020-05-30,346,794,3.233,7.419
2e132f0d-3557-4759-adc2-086be77d48b0,2020-05-31,319,812,2.981,7.588
395757a6-0279-44cb-b334-bbbd2fd90639,2020-06-01,306,731,2.859,6.831
edf6f549-d16e-4e13-9776-ee7a90ad898a,2020-06-02,320,734,2.99,6.859
f3e008d4-0dec-43b1-ada0-757963e991cb,2020-06-03,357,733,3.336,6.849
4e47837c-195b-48a1-9d57-0c92e02c498b,2020-06-04,367,760,3.429,7.102
a837aec6-e0d6-4fb9-b26b-8c84b3018653,2020-06-05,346,735,3.233,6.868
c48e69bf-69e5-4112-9ce0-5525d6c71f3f,2020-06-06,351,697,3.28,6.513
1eea2986-3eda-47e8-9d5c-498fb77935fa,2020-06-07,374,693,3.495,6.476
71d49f67-4643-4301-8ee4-e7b21e0a9181,2020-06-08,409,715,3.822,6.681
dfffd22f-06f8-4bb7-a9dd-07db1e163c7a,2020-06-09,398,718,3.719,6.709
58c5be8c-95b8-46c1-804d-fddd6c4f44da,2020-06-10,398,755,3.719,7.055
419a15fe-e898-4b54-bcf7-cb79c704e9c8,2020-06-11,399,766,3.728,7.158
8f0c12de-c1b9-4a6f-9fa6-1745144b252f,2020-06-12,415,761,3.878,7.111
63673869-3584-4354-bfa4-5ba78ce46f72,2020-06-13,429,780,4.009,7.289
43e31e04-741a-444f-bf93-a83c70ec09e5,2020-06-14,401,775,3.747,7.242
66936ee8-3e71-4b28-b8f0-f971e3be1ee6,2020-06-15,372,781,3.476,7.298
a2b6612e-75c3-424e-b184-f995cc2e69c0,2020-06-16,364,762,3.401,7.12
d9d656d7-4077-4385-8b5e-932377814b98,2020-06-17,342,740,3.196,6.915
70feddf3-9e0b-4ccc-91f9-5dbc6fba73b1,2020-06-18,395,794,3.691,7.419
e506d015-e520-4460-bc51-e4000e617a3c,2020-06-19,470,885,4.392,8.27
87c1375d-1256-4429-833f-74879fc1c0de,2020-06-20,460,889,4.298,8.307
2e26d55d-9eca-4e47-baa0-74e8e300306c,2020-06-21,478,879,4.467,8.214
b3ff7c2a-7778-431e-b4cc-9cdf7177e100,2020-06-22,502,874,4.691,8.167
6fd7e65e-66dd-48e3-a301-1a287beb967d,2020-06-23,544,908,5.083,8.485
3547b32b-f61f-4e8f-9633-2d06743f653b,2020-06-24,619,961,5.784,8.98
