1995M9,16366.2,16925.3
1995M10,15897.6,16975.8
1995M11,14565.6,16155.9
1995M12,14907.7,16508
1996M1,15541.8,16847.1
1996M2,11694.1,12412.6
1996M3,12504.3,15624.4
1996M4,15009.4,17201.6
1996M5,15241.5,16794.7
1996M6,14056.3,15996.6
1996M7,17051.7,17908
1996M8,16144.9,17077.1
1996M9,16305.6,16900.4
1996M10,16800.7,17862
1996M11,15314.1,16949.6
1996M12,15080.5,16986.7
1997M1,15425,17026
1997M2,11496,13202
1997M3,13623,16538
1997M4,15615,17953
1997M5,15111,17374
1997M6,15374,17012
1997M7,17644,19497
1997M8,16724,18051
1997M9,16384,17202
1997M10,18482,19771
1997M11,16129,17208
1997M12,16069,17797
1998M1,14781,14621
1998M2,11364,13792
1998M3,14018,15955
1998M4,14968,17188
1998M5,14616,16061
1998M6,15062,15910
1998M7,15373,15895
1998M8,15379,15474
1998M9,14746,14933
1998M10,15235,15327
1998M11,14607,14700
1998M12,13879,14753
1999M1,13796,13881
1999M2,10214,10353
1999M3,12530,13976
1999M4,13752,14624
1999M5,14008,14052
1999M6,14256,14919
1999M7,15806,16460
1999M8,16018,15707
1999M9,15584,16073
1999M10,16140,16324
1999M11,16053,16095
1999M12,15919,17195
2000M1,15676,16092
2000M2,12231,13116
2000M3,15771,17518
2000M4,15811,17162
2000M5,17052,18061
2000M6,16192,17003
2000M7,17245,18286
2000M8,18847,19292
2000M9,19395,20065
2000M10,19878,20375
2000M11,17389,17889
2000M12,16592,18197
2001M1,15567,15404
2001M2,13436,15689
2001M3,15555,17218
2001M4,15407,17077
2001M5,16437,17463
2001M6,14827,15874
2001M7,17104,18106
2001M8,17129,17490
2001M9,17259,18254
2001M10,17096,17339
2001M11,15413,15827
2001M12,14871,15735
2002M1,13665,14078
2002M2,12216,12574
2002M3,15904,17253
2002M4,15786,16720
2002M5,16140,17089
2002M6,16012,16828
2002M7,18774,19417
2002M8,18108,18500
2002M9,18981,19382
2002M10,19301,19665
2002M11,18083,18231
2002M12,17354,18286
2003M1,17313,17082
2003M2,13482,14872
2003M3,18349,19776
