datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,kumulativni_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_vylecenych,prirustkovy_pocet_umrti,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_provedenych_ag_testu,kumulativni_pocet_nove_nakazenych_primoinfekce,kumulativni_pocet_nove_nakazenych_reinfekce,prirustkovy_pocet_nove_nakazenych_primoinfekce,prirustkovy_pocet_nove_nakazenych_reinfekce
2023-08-09,4643319,4599909,42816,22154691,34620296,27,2,0,71,326,4240951,402368,19,8
2023-08-10,4643344,4599940,42816,22154769,34620566,25,31,0,78,270,4240966,402378,15,10
2023-08-11,4643376,4599960,42816,22154831,34620858,32,20,0,62,292,4240990,402386,24,8
2023-08-12,4643380,4599980,42816,22154862,34620890,4,20,0,31,32,4240992,402388,2,2
2023-08-13,4643383,4599999,42816,22154883,34620916,3,19,0,21,26,4240995,402388,3,0
2023-08-14,4643464,4600029,42816,22155007,34621500,81,30,0,124,584,4241043,402421,48,33
2023-08-15,4643515,4600032,42816,22155092,34621902,51,3,0,85,402,4241073,402442,30,21
2023-08-16,4643565,4600037,42816,22155200,34622268,50,5,0,108,366,4241100,402465,27,23
2023-08-17,4643607,4600081,42816,22155277,34622618,42,44,0,77,350,4241123,402484,23,19
2023-08-18,4643672,4600112,42818,22155369,34622999,65,31,2,92,381,4241156,402516,33,32
2023-08-19,4643674,4600146,42818,22155390,34623023,2,34,0,21,24,4241157,402517,1,1
2023-08-20,4643679,4600174,42818,22155415,34623060,5,28,0,25,37,4241159,402520,2,3
2023-08-21,4643773,4600211,42818,22155542,34623677,94,37,0,127,617,4241202,402571,43,51
2023-08-22,4643864,4600215,42818,22155656,34624145,91,4,0,114,468,4241250,402614,48,43
2023-08-23,4643930,4600220,42818,22155769,34624560,66,5,0,113,415,4241287,402643,37,29
2023-08-24,4643989,4600294,42818,22155876,34624934,59,74,0,107,374,4241330,402659,43,16
2023-08-25,4644066,4600347,42818,22155999,34625400,77,53,0,123,466,4241378,402688,48,29
2023-08-26,4644074,4600395,42819,22156043,34625442,8,48,1,44,42,4241381,402693,3,5
2023-08-27,4644082,4600437,42821,22156063,34625483,8,42,2,20,41,4241387,402695,6,2
2023-08-28,4644188,4600498,42822,22156185,34626219,106,61,1,122,736,4241449,402739,62,44
2023-08-29,4644250,4600504,42822,22156332,34626620,62,6,0,147,401,4241487,402763,38,24
2023-08-30,4644351,4600512,42822,22156452,34627222,101,8,0,120,602,4241550,402801,63,38
2023-08-31,4644427,4600608,42822,22156579,34627750,76,96,0,127,528,4241597,402830,47,29
2023-09-01,4644532,4600695,42823,22156715,34628317,105,87,1,136,567,4241668,402864,71,34
2023-09-02,4644550,4600756,42823,22156752,34628363,18,61,0,37,46,4241683,402867,15,3
2023-09-03,4644560,4600815,42824,22156771,34628410,10,59,1,19,47,4241689,402871,6,4
2023-09-04,4644759,4600885,42824,22156950,34629562,199,70,0,179,1152,4241785,402974,96,103
2023-09-05,4644945,4600905,42824,22157135,34630486,186,20,0,185,924,4241882,403063,97,89
2023-09-06,4645108,4600909,42826,22157301,34631354,163,4,2,166,868,4241970,403138,88,75
2023-09-07,4645261,4601015,42827,22157475,34632218,153,106,1,174,864,4242064,403197,94,59
2023-09-08,4645427,4601080,42828,22157672,34633058,166,65,1,197,840,4242171,403256,107,59
2023-09-09,4645441,4601170,42829,22157703,34633114,14,90,1,31,56,4242183,403258,12,2
2023-09-10,4645471,4601241,42829,22157738,34633206,30,71,0,35,92,4242210,403261,27,3
2023-09-11,4645932,4601338,42829,22158027,34635125,461,97,0,289,1919,4242460,403472,250,211
2023-09-12,4646233,4601359,42830,22158285,34636627,301,21,1,258,1502,4242632,403601,172,129
2023-09-13,4646574,4601372,42831,22158541,34638166,341,13,1,256,1539,4242824,403750,192,149
2023-09-14,4646863,4601567,42833,22158772,34639667,289,195,2,231,1501,4242980,403883,156,133
2023-09-15,4647164,4601759,42833,22159066,34641070,301,192,0,294,1403,4243145,404019,165,136
2023-09-16,4647204,4601927,42834,22159127,34641174,40,168,1,61,104,4243174,404030,29,11
2023-09-17,4647236,4602086,42835,22159170,34641301,32,159,1,43,127,4243198,404038,24,8
2023-09-18,4647851,4602242,42835,22159497,34644204,615,156,0,327,2903,4243529,404322,331,284
2023-09-19,4648308,4602257,42836,22159785,34646452,457,15,1,288,2248,4243773,404535,244,213
2023-09-20,4648722,4602295,42837,22160049,34648484,414,38,1,264,2032,4243987,404735,214,200
2023-09-21,4649082,4602746,42839,22160349,34650281,360,451,2,300,1797,4244172,404910,185,175
2023-09-22,4649437,4603040,42842,22160670,34652068,355,294,3,321,1787,4244397,405040,225,130
2023-09-23,4649461,4603370,42844,22160731,34652188,24,330,2,61,120,4244416,405045,19,5
2023-09-24,4649502,4603657,42844,22160787,34652325,41,287,0,56,137,4244444,405058,28,13
2023-09-25,4650210,4603942,42845,22161145,34655661,708,285,1,358,3336,4244836,405374,392,316
2023-09-26,4650692,4603979,42846,22161525,34657945,482,37,1,380,2284,4245112,405580,276,206
2023-09-27,4651139,4604016,42848,22161863,34660048,447,37,2,338,2103,4245379,405760,267,180
2023-09-28,4651178,4604628,42852,22161924,34660184,39,612,4,61,136,4245407,405771,28,11
2023-09-29,4651603,4605084,42852,22162274,34661777,425,456,0,350,1593,4245676,405927,269,156
2023-09-30,4651643,4605479,42852,22162389,34661905,40,395,0,115,128,4245706,405937,30,10
2023-10-01,4651685,4605846,42853,22162472,34662069,42,367,1,83,164,4245737,405948,31,11
2023-10-02,4652546,4606178,42856,22162866,34666416,861,332,3,394,4347,4246190,406356,453,408
2023-10-03,4653192,4606214,42858,22163243,34669338,646,36,2,377,2922,4246570,406622,380,266
2023-10-04,4653721,4606256,42860,22163570,34671899,529,42,2,327,2561,4246885,406836,315,214
2023-10-05,4654199,4606932,42863,22163866,34674258,478,676,3,296,2359,4247146,407053,261,217
2023-10-06,4654617,4607395,42865,22164214,34676384,418,463,2,348,2126,4247378,407239,232,186
2023-10-07,4654661,4607837,42866,22164303,34676559,44,442,1,89,175,4247412,407249,34,10
2023-10-08,4654704,4607880,42869,22164354,34676714,43,43,3,51,155,4247443,407261,31,12
2023-10-09,4655537,4608274,42872,22164768,34680877,833,394,3,414,4163,4247900,407637,457,376
2023-10-10,4656112,4608322,42876,22165138,34683700,575,48,4,370,2823,4248219,407893,319,256
2023-10-11,4656636,4608392,42877,22165490,34686255,524,70,1,352,2555,4248531,408105,312,212
2023-10-12,4657178,4609244,42881,22165864,34688656,542,852,4,374,2401,4248858,408320,327,215
2023-10-13,4657649,4609841,42882,22166211,34690844,471,597,1,347,2188,4249134,408515,276,195
2023-10-14,4657702,4610347,42886,22166290,34691036,53,506,4,79,192,4249170,408532,36,17
2023-10-15,4657756,4610795,42886,22166346,34691179,54,448,0,56,143,4249209,408547,39,15
2023-10-16,4658741,4611220,42887,22166849,34695553,985,425,1,503,4374,4249757,408984,548,437
2023-10-17,4659423,4611278,42890,22167209,34698546,682,58,3,360,2993,4250120,409303,363,319
2023-10-18,4659987,4611331,42895,22167521,34701144,564,53,5,312,2598,4250431,409556,311,253
2023-10-19,4660579,4612136,42898,22167835,34703665,592,805,3,314,2521,4250793,409786,362,230
2023-10-20,4661173,4612658,42901,22168235,34706158,594,522,3,400,2493,4251134,410039,341,253
2023-10-21,4661250,4613158,42904,22168314,34706350,77,500,3,79,192,4251191,410059,57,20
2023-10-22,4661332,4613661,42904,22168387,34706550,82,503,0,73,200,4251259,410073,68,14
2023-10-23,4662610,4614110,42908,22168923,34711314,1278,449,4,536,4764,4251958,410652,699,579
2023-10-24,4663476,4614188,42908,22169302,34714656,866,78,0,379,3342,4252427,411049,469,397
2023-10-25,4664309,4614256,42910,22169687,34717630,833,68,2,385,2974,4252910,411399,483,350
2023-10-26,4664931,4615215,42916,22170023,34719949,622,959,6,336,2319,4253267,411664,357,265
2023-10-27,4665581,4615863,42916,22170368,34722220,650,648,0,345,2271,4253677,411904,410,240
2023-10-28,4665677,4616410,42920,22170463,34722443,96,547,4,95,223,4253751,411926,74,22
2023-10-29,4665753,4616983,42922,22170539,34722690,76,573,2,76,247,4253805,411948,54,22
2023-10-30,4667283,4617552,42929,22171045,34727598,1530,569,7,506,4908,4254646,412637,841,689
2023-10-31,4668278,4617642,42936,22171497,34731186,995,90,7,452,3588,4255210,413068,564,431
2023-11-01,4669157,4617733,42940,22171890,34734503,879,91,4,393,3317,4255719,413438,509,370
2023-11-02,4669937,4618963,42945,22172252,34737547,780,1230,5,362,3044,4256155,413782,436,344
2023-11-03,4670736,4619815,42949,22172700,34740403,799,852,4,448,2856,4256639,414097,484,315
2023-11-04,4670819,4620599,42957,22172834,34740629,83,784,8,134,226,4256699,414120,60,23
2023-11-05,4670899,4621196,42960,22172913,34740853,80,597,3,79,224,4256761,414138,62,18
2023-11-06,4672490,4621825,42962,22173410,34746316,1591,629,2,497,5463,4257616,414874,855,736
2023-11-07,4673609,4621946,42968,22173871,34750064,1119,121,6,461,3748,4258241,415368,625,494
2023-11-08,4674571,4622047,42970,22174268,34753273,962,101,2,397,3209,4258795,415776,554,408
